Name 2,Own 2,Rank 2013,Rank 2012,Change2,Current Turnover,Last,Y-O-Y %,Current Profit,Last2,Y-O-Y %2,Operating Margin % |Current,Last3,(Ppts),ROCE |Current,Last4,Year End,Activity,OwnPos
General Mills Uk,UK sub,52,54,2,261,251,4.1,4,3,3.6,1.4,1.4,0,4.3,9.4,04/12/2014,B,16
Ldh (La Doria),UK sub,53,,,259,226,14.5,11,8,26.6,4.1,3.7,0.4,23.8,,12/11/2014,uB,14
Forza Aw,Family,54,80,26,254,234,8.9,14,10,42.6,5.5,4.2,1.3,45.1,40.1,12/12/2014,uB,8
Walkers Snack Foods,UK sub,55,53,-2,252,254,-0.8,46,30,55.6,18.3,11.7,6.6,8.6,4.5,12/11/2014,B,19
Fyffes Group,Listed,56,55,-1,244,217,12.3,11,8,46.1,4.6,3.5,1.1,14.1,9.7,12/11/2014,uB,12
Faughan,Family,57,56,-1,241,217,10.8,5,4,46.7,2.2,1.6,0.5,13.3,9.8,12/11/2014,uB,7
Danone,UK sub,58,57,-1,240,239,0.4,30,23,30.5,12.3,9.5,2.8,113.6,101.2,12/11/2014,B,6
Ag Barr,Listed,59,58,-1,238,224,6.6,32,35,-7.4,13.4,15.4,-2,35.8,42.3,Jan-13,B,7
Red Bull,UK sub,60,59,-1,236,232,1.8,14,12,10.7,5.8,5.3,0.5,30.2,24.5,12/11/2014,B,9
Wrigley,UK sub,61,69,8,230,195,18.2,55,40,37.6,24,20.6,3.4,90,66.8,12/12/2014,B,8
Yeo Valley Group,Family,62,67,5,229,202,13.4,4,2,89.7,1.8,1.1,0.7,9.2,5.6,05/12/2014,B,16
Ktc (Edibles),Family,63,60,-3,228,188,21.2,2,1,21,0.7,0.7,0,3.9,3.3,12/11/2014,uB,13
Adelie Food Holdings,PE,64,61,-3,226,232,-2.6,-3,5,,-1.5,2,-3.5,-12.6,16.1,10/10/2014,uB,20
The First Milk Cheese,Family,65,70,5,223,194,15.1,2,6,-63.2,1,3.2,-2.2,2.1,9.3,03/12/2014,uB,22
Jw Galloway,Family,66,63,-3,219,215,2.1,2,8,-76.3,0.9,3.8,-2.9,4.2,18.2,02/12/2014,uB,11
Wellness Foods,PE,67,62,-5,214,222,-3.5,17,15,10.4,7.8,6.8,1,31.8,30.8,12/12/2014,B,14
Dale Farm,UK sub,68,71,3,211,192,10.4,2,2,9.7,1.1,1.1,0,3.1,3.2,03/12/2014,uB,9
Danish Crown Uk,UK sub,69,77,8,210,183,15.1,2,1,77,0.9,0.6,0.3,6.4,3.8,09/12/2014,uB,15
Lactalis Mclelland,UK sub,70,64,-6,209,182,15,10,7,52.8,4.8,3.6,1.2,7,5,12/11/2014,uB,18
Finsbury Food Group,Listed,71,72,1,208,190,9.4,9,9,-1.8,4.4,5,-0.5,36.3,38.9,06/12/2014,uB,19
